output_file	block_order	declaration	source_path	lean_module	start_line	end_line	source_sha256	block_sha256
01_core_model.lean	1	RNA.Nucleotide	RNA/Alphabet.lean	RNA.Alphabet	28	33	da4bc09c95a4b23b73ebc2493881ccafee46362c6aebefe95d18fb2f9c5e258f	395b523e88682c51ca903373fbee4b908457886e3617f82d4f8427a41026436d
01_core_model.lean	2	RNA.Nucleotide.comp	RNA/Alphabet.lean	RNA.Alphabet	45	49	da4bc09c95a4b23b73ebc2493881ccafee46362c6aebefe95d18fb2f9c5e258f	6bead8d761c3ebfa89782357d4e40ab090ff7ea36f2322e0ae3320892070b351
01_core_model.lean	3	RNA.Compatible	RNA/Alphabet.lean	RNA.Alphabet	68	68	da4bc09c95a4b23b73ebc2493881ccafee46362c6aebefe95d18fb2f9c5e258f	65036a31d9286f4e20e5a398c21d49e94e3c0562cd8bc0d035f909e1381ae6d6
01_core_model.lean	4	RNA.Sequence	RNA/Alphabet.lean	RNA.Alphabet	110	110	da4bc09c95a4b23b73ebc2493881ccafee46362c6aebefe95d18fb2f9c5e258f	ead1753fd3fefdd2fb0029bbcb73e4976ae668078bbc22e2890474d60e15659a
01_core_model.lean	5	RNA.Arc	RNA/Structure.lean	RNA.Structure	26	30	ab3662a5730dd1d42f53859d43750a15e9b0edcb1e21e4a8ca0e3d5cda4d5451	53e6ac1bc0612a00c5cced3080bf0c9b02af801efbe70093c01feb088d71b2d1
01_core_model.lean	6	RNA.Arc.Crosses	RNA/Structure.lean	RNA.Structure	113	115	ab3662a5730dd1d42f53859d43750a15e9b0edcb1e21e4a8ca0e3d5cda4d5451	bca1324e320574a6b9fc7ff70f3485b536343824904bbb09d4a9cf4d118822c5
01_core_model.lean	7	RNA.IsPartialMatching	RNA/Structure.lean	RNA.Structure	132	135	ab3662a5730dd1d42f53859d43750a15e9b0edcb1e21e4a8ca0e3d5cda4d5451	f70d1368975d4d8132989ae2be8b45cf6c3f84bb23178b81031d63fdf830a69e
01_core_model.lean	8	RNA.IsNoncrossing	RNA/Structure.lean	RNA.Structure	138	141	ab3662a5730dd1d42f53859d43750a15e9b0edcb1e21e4a8ca0e3d5cda4d5451	9b8a7103b8bd906b61d5124279da770148bbef389330871de47a4e830df6d972
01_core_model.lean	9	RNA.SecondaryStructure	RNA/Structure.lean	RNA.Structure	152	155	ab3662a5730dd1d42f53859d43750a15e9b0edcb1e21e4a8ca0e3d5cda4d5451	d3bc225012087e964c890e3b78f850a527df355fd457803fb97390d58d07e322
01_core_model.lean	10	RNA.StructureCompatible	RNA/Structure.lean	RNA.Structure	239	240	ab3662a5730dd1d42f53859d43750a15e9b0edcb1e21e4a8ca0e3d5cda4d5451	0fb7cc7e9ee66be9da98d464a3f8c3a356d0075c3947898211e7b682b845bae9
01_core_model.lean	11	RNA.pairCount	RNA/Structure.lean	RNA.Structure	252	252	ab3662a5730dd1d42f53859d43750a15e9b0edcb1e21e4a8ca0e3d5cda4d5451	8cdb379812bcf2b988bbf27f2b1494f0fc9c5d04dbb99c0cd36b68439fb109fa
01_core_model.lean	12	RNA.UniqueDesigns	RNA/Structure.lean	RNA.Structure	273	278	ab3662a5730dd1d42f53859d43750a15e9b0edcb1e21e4a8ca0e3d5cda4d5451	4e2e82ae88cdd24e9f8eb509691c31d5ca668f2bb090bc53c5c5d40ff5a17e63
02_helix_target_class.lean	1	RNA.HelixCandidate	RNA/Helix.lean	RNA.Helix	71	71	03b69def8a4baefac27dde9d1ae4fde98dcf0cacc3e6345ef8d2392532dc7465	7e69464504acea02388f07ca01740aa8938927e11774bad735787f3a79b07f01
02_helix_target_class.lean	2	RNA.HelixCandidate.outer	RNA/Helix.lean	RNA.Helix	75	75	03b69def8a4baefac27dde9d1ae4fde98dcf0cacc3e6345ef8d2392532dc7465	61167c9ab626f884473136328e202686fc21c9b82d3af64de4ee9ad552888ea7
02_helix_target_class.lean	3	RNA.HelixCandidate.length	RNA/Helix.lean	RNA.Helix	77	77	03b69def8a4baefac27dde9d1ae4fde98dcf0cacc3e6345ef8d2392532dc7465	97cfc05fdc9461fdf88cd81925a7b8d7a9c482b07ba7a3f6190e8511bc30b2f3
02_helix_target_class.lean	4	RNA.HasStackOffset	RNA/Helix.lean	RNA.Helix	87	88	03b69def8a4baefac27dde9d1ae4fde98dcf0cacc3e6345ef8d2392532dc7465	358ce0a8c9ad08549810db6bca4a7cd4e0d280a73595405e38a5835a24241f33
02_helix_target_class.lean	5	RNA.IsMaximalHelixRun	RNA/Helix.lean	RNA.Helix	97	102	03b69def8a4baefac27dde9d1ae4fde98dcf0cacc3e6345ef8d2392532dc7465	5fd21ff82f6a17c048802ef6975391820e6487e1a224672e2dcbabd764a0fc27
02_helix_target_class.lean	6	RNA.IsMaximalHelix	RNA/Helix.lean	RNA.Helix	122	123	03b69def8a4baefac27dde9d1ae4fde98dcf0cacc3e6345ef8d2392532dc7465	61b5163da1141f1a853867413b719b02a0c3185b6b25c462d1e4a7855d77a8b3
